Company,Symbol
ULTRACEMCO,ULTRACEMCO.NS
ADANIPORTS,ADANIPORTS.NS
SHREECEM,SHREECEM.NS
GRASIM,GRASIM.NS
DRREDDY,DRREDDY.NS
SBILIFE,SBILIFE.NS
WIPRO,WIPRO.NS
ASIANPAINT,ASIANPAINT.NS
BRITANNIA,BRITANNIA.NS
HEROMOTOCO,HEROMOTOCO.NS
UPL,UPL.NS
HINDUNILVR,HINDUNILVR.NS
MARUTI,MARUTI.NS
ITC,ITC.NS
NESTLEIND,NESTLEIND.NS
KOTAKBANK,KOTAKBANK.NS
DIVISLAB,DIVISLAB.NS
EICHERMOT,EICHERMOT.NS
TITAN,TITAN.NS
BPCL,BPCL.NS
HCLTECH,HCLTECH.NS
TCS,TCS.NS
CIPLA,CIPLA.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
INDUSINDBK,INDUSINDBK.NS
INFY,INFY.NS
HDFCLIFE,HDFCLIFE.NS
TECHM,TECHM.NS
POWERGRID,POWERGRID.NS
M&M,M&M.NS
ONGC,ONGC.NS
BAJFINANCE,BAJFINANCE.NS
SUNPHARMA,SUNPHARMA.NS
IOC,IOC.NS
BHARTIARTL,BHARTIARTL.NS
RELIANCE,RELIANCE.NS
GAIL,GAIL.NS
NTPC,NTPC.NS
ICICIBANK,ICICIBANK.NS
COALINDIA,COALINDIA.NS
SBIN,SBIN.NS
HDFCBANK,HDFCBANK.NS
LT,LT.NS
AXISBANK,AXISBANK.NS
BAJAJFINSV,BAJAJFINSV.NS
TATAMOTORS,TATAMOTORS.NS
TATASTEEL,TATASTEEL.NS
HINDALCO,HINDALCO.NS
HDFC,HDFC.NS
JSWSTEEL,JSWSTEEL.NS
CONCOR,CONCOR.NS
AMBUJACEM,AMBUJACEM.NS
ACC,ACC.NS
HINDZINC,HINDZINC.NS
ICICIPRULI,ICICIPRULI.NS
SIEMENS,SIEMENS.NS
DABUR,DABUR.NS
GICRE,GICRE.NS
IGL,IGL.NS
ADANITRANS,ADANITRANS.NS
CADILAHC,CADILAHC.NS
INDIGO,INDIGO.NS
NMDC,NMDC.NS
INDUSTOWER,INDUSTOWER.NS
ADANIGREEN,ADANIGREEN.NS
HAVELLS,HAVELLS.NS
OFSS,OFSS.NS
UBL,UBL.NS
PGHH,PGHH.NS
BANDHANBNK,BANDHANBNK.NS
BOSCHLTD,BOSCHLTD.NS
TORNTPHARM,TORNTPHARM.NS
DLF,DLF.NS
ABBOTINDIA,ABBOTINDIA.NS
LTI,LTI.NS
BERGEPAINT,BERGEPAINT.NS
COLPAL,COLPAL.NS
MOTHERSUMI,MOTHERSUMI.NS
PNB,PNB.NS
PIDILITIND,PIDILITIND.NS
PETRONET,PETRONET.NS
AUROPHARMA,AUROPHARMA.NS
PFC,PFC.NS
ALKEM,ALKEM.NS
MARICO,MARICO.NS
BANKBARODA,BANKBARODA.NS
MUTHOOTFIN,MUTHOOTFIN.NS
BIOCON,BIOCON.NS
TATACONSUM,TATACONSUM.NS
BAJAJHLDNG,BAJAJHLDNG.NS
MCDOWELL-N,MCDOWELL-N.NS
DMART,DMART.NS
LUPIN,LUPIN.NS
SBICARD,SBICARD.NS
GODREJCP,GODREJCP.NS
HINDPETRO,HINDPETRO.NS
HDFCAMC,HDFCAMC.NS
NAUKRI,NAUKRI.NS
PEL,PEL.NS
ICICIGI,ICICIGI.NS
